n,a,b,c,p,lambda,delta,chi_delta,ap_L_lambda,N,factorization_N,q,h,k,b_mov
-3,14,38,98,1000003,785718,992947,-1,564,1000568,2^3;181^1;691^1,691,1448,690,13753
-3,14,38,98,10000019,6428585,9992963,-1,5524,10005544,2^3;461^1;2713^1,2713,3688,2712,63064
-3,14,38,98,100000007,7142859,99992951,-1,14912,100014920,2^3;5^1;67^2;557^1,557,179560,556,14776
-3,14,38,98,1000000007,357142861,999992951,-1,-57808,999942200,2^3;5^2;31^1;161281^1,161281,6200,2560,76538
-3,14,38,98,10000000019,714285717,9999992963,-1,-77904,9999922116,2^2;3^1;833326843^1,833326843,12,24509613,814191721
-3,14,38,98,100000000003,64285714289,99999992947,-1,515956,100000515960,2^3;3^2;5^1;23^1;12077357^1,12077357,8280,3019339,110330298
-3,14,38,98,1000000000039,928571428609,999999992983,-1,1375624,1000001375664,2^4;3^1;20833361993^1,20833361993,48,10416680996,415241583074
-3,19,28,93,1009,293,516,-1,-34,976,2^4;61^1,61,16,20,200
-3,19,28,93,10007,672,7496,1,132,9876,2^2;3^1;823^1,823,12,411,5462
-3,19,28,93,100003,13384,97492,1,340,99664,2^4;6229^1,6229,16,519,8621
-3,19,28,93,1000003,445643,997492,1,-52,1000056,2^3;3^1;41669^1,41669,24,20834,415255
-3,19,28,93,10000019,2461178,9997508,1,2724,9997296,2^4;3^1;208277^1,208277,48,104138,2421573
-3,19,28,93,100000007,31421749,99997496,-1,12876,100012884,2^2;3^1;19^2;23087^1,23087,4332,23086,613521
-3,19,28,93,1000000007,13142177,999997496,-1,28008,1000028016,2^4;3^2;13^1;534203^1,534203,1872,534202,15971226
-3,19,28,93,10000000019,203106335,9999997508,-1,78972,10000078992,2^4;3^3;23148331^1,23148331,432,3858055,128161813
-3,19,28,93,100000000003,6929510158,99999997492,-1,-76796,99999923208,2^3;3^1;17^1;673^1;364187^1,364187,274584,364186,13307797
-3,19,28,93,1000000000039,596176822009,999999997528,-1,430144,1000000430184,2^3;3^1;7^1;5952383513^1,5952383513,168,744047939,29660085031
3,1,6,13,1009,265,195,-1,38,1048,2^3;131^1,131,8,26,260
3,1,6,13,10007,3696,195,-1,-108,9900,2^2;3^2;5^2;11^1,11,900,10,133
3,1,6,13,100003,78465,195,-1,108,100112,2^4;6257^1,6257,16,6256,103911
3,1,6,13,1000003,323079,195,1,-764,1000768,2^6;19^1;823^1,823,1216,822,16384
3,1,6,13,10000019,307694,195,1,1540,9998480,2^4;5^1;124981^1,124981,80,41660,968741
3,1,6,13,100000007,83076930,195,-1,-5396,99994612,2^2;17^1;191^1;7699^1,7699,12988,7698,204578
3,1,6,13,1000000007,215384618,195,1,7688,999992320,2^10;5^1;195311^1,195311,5120,39062,1167851
3,1,6,13,10000000019,8769230787,195,1,-149796,10000149816,2^3;3^1;53^1;97^1;81049^1,81049,123384,27016,897453
3,1,6,13,100000000003,78461538465,195,-1,-164852,99999835152,2^4;3^1;7^1;2039^1;145963^1,145963,685104,145962,5333628
3,1,6,13,1000000000039,492307692328,195,-1,-1290584,999998709456,2^4;3^1;19^1;1096489813^1,1096489813,912,365496604,14569841249
3,1,13,22,1009,517,792,-1,-22,988,2^2;13^1;19^1,19,52,18,180
3,1,13,22,10007,7620,792,1,-36,10044,2^2;3^4;31^1,31,324,3,40
3,1,13,22,100003,17047,792,-1,536,100540,2^2;5^1;11^1;457^1,457,220,152,2525
3,1,13,22,1000003,897731,792,1,-524,1000528,2^4;62533^1,62533,16,31266,623181
3,1,13,22,10000019,3522735,792,-1,-1812,9998208,2^7;3^3;11^1;263^1,263,38016,131,3047
3,1,13,22,100000007,76136370,792,1,-3468,100003476,2^2;3^1;8333623^1,8333623,12,2777874,73823182
3,1,13,22,1000000007,306818185,792,1,-4524,1000004532,2^2;3^1;17^1;1979^1;2477^1,2477,403716,2476,74026
3,1,13,22,10000000019,795454548,792,1,72264,9999927756,2^2;3^2;7^1;13^1;79^1;38639^1,38639,258804,19319,641764
3,1,13,22,100000000003,17045454547,792,-1,420224,100000420228,2^2;19^1;26777^1;49139^1,49139,2035052,24569,897781
3,1,13,22,1000000000039,852272727307,792,1,1553808,999998446232,2^3;149^1;467^1;1796413^1,1796413,556664,299402,11935103
